co
76
76001
Cafeteros
05
05_Valle_Aburra
05001
05088
05266
05380
08
08001
11
13
13001
15
15001
17
17001
18
18001
19
19001
20
20001
23
23001
25
25001
27
27001
27075
41
41001
41872
44
44001
47
47001
50
50001
52
52001
54
54001
63
63001
66
66001
70
70001
73
73001
81
81001
85
85001
86
86001
88
88001
91
91001
94
94001
95
95001
97
97001
68
68001
