"N_0"
"E2_0"
"P_0"
"J_1"
"J_L"
"D"
"R_j"
"RJ_L"
"beta_L"
"beta_T"
"beta_P"
"phi_EP"
"lambda_fq"
"vartheta_E"
"gamma_L"
"k_L"
"k_P"
"phi_T"
"lambda_qf"
"psi_e"
"phi_PH"
"delta"
"m"
"eta_L"
"vartheta_P"
"gamma_H"
"z"
"phi_PL"
"eta_vartheta"
"nons"
"a_L"
"b_L"
"a_mu"
"b_mu"
"mu"
"a_H"
"b_H"
"nu"
"lon"
"BP"
"reg"
